gov_code,p1_code,p1_name,p1_name_ar,population,households
11,YE11,Ibb,اب,3170000,1149
12,YE12,Abyan,ابين,629000,635
13,YE13,Sana'a City,امانة العاصمه,3769616,1178
14,YE14,Al Bayda,البيضاء,843000,791
15,YE15,Ta'iz,تعز,3556000,941
16,YE16,Al Jawf,الجوف,656000,1002
17,YE17,Hajjah,حجه,2472000,899
18,YE18,Al Hodeidah,الحديده,3747000,1044
19,YE19,Hadramawt,حضرموت,1656644,944
20,YE20,Dhamar,ذمار,2221000,960
21,YE21,Shabwah,شبوه,711000,804
22,YE22,Sa'dah,صعده,1290000,957
23,YE23,Sana'a,صنعاء,1612384,903
24,YE24,Aden,عدن,1115000,889
25,YE25,Lahj,لحج,1111000,855
26,YE26,Ma'rib,مارب,384231,645
27,YE27,Al Mahwit,المحويت,797000,855
28,YE28,Al Maharah,المهره,186000,814
29,YE29,Amran,عمران,1109000,974
30,YE30,Ad Dali',الضالع,859000,743
31,YE31,Raymah,ريمه,657000,885
32,YE32,Socotra,سقطرى,75356,827
